model_name,lead_time_step,variable,rmse,acc
pruned_2_layers_epoch_6,12,t2m,2.9557623836581266,0.8680640965200669
pruned_2_layers_epoch_6,12,u10,2.52471750674967,0.8090864326700818
pruned_2_layers_epoch_6,12,v10,2.577594453396078,0.8008352248362323
pruned_2_layers_epoch_6,13,z500,342.9901591892349,0.9429899633929716
pruned_2_layers_epoch_6,13,t850,2.095989448398185,0.9125638887202939
pruned_2_layers_epoch_6,13,t2m,3.692440806154432,0.8212120273259765
pruned_2_layers_epoch_6,13,u10,2.6994856655930675,0.7838977765104624
pruned_2_layers_epoch_6,13,v10,2.759390581919494,0.7741117580642913
pruned_2_layers_epoch_6,14,z500,375.4297655840826,0.9316449321848054
pruned_2_layers_epoch_6,14,t850,2.2973869552825414,0.8965807497168387
pruned_2_layers_epoch_6,14,t2m,4.596753625230416,0.7713872598869175
pruned_2_layers_epoch_6,14,u10,2.868223853617407,0.7512762573178254
pruned_2_layers_epoch_6,14,v10,2.920742174766583,0.7420294224882925
pruned_2_layers_epoch_6,15,z500,407.3882359339538,0.9189099915866745
pruned_2_layers_epoch_6,15,t850,2.522396447938248,0.8761680472496501
pruned_2_layers_epoch_6,15,t2m,5.701457142163921,0.7099924986588888
pruned_2_layers_epoch_6,15,u10,3.038627773689824,0.723629737699498
pruned_2_layers_epoch_6,15,v10,3.0994843957144456,0.7122954436520624
pruned_2_layers_epoch_6,16,z500,440.796467019193,0.904913426777504
pruned_2_layers_epoch_6,16,t850,2.7817093700004025,0.8537138264272466
pruned_2_layers_epoch_6,16,t2m,7.0100316415285935,0.6492307042109899
pruned_2_layers_epoch_6,16,u10,3.196669481320088,0.6881865882340756
pruned_2_layers_epoch_6,16,v10,3.250114516838969,0.6771641503499207
pruned_2_layers_epoch_6,17,z500,473.19196306793384,0.8894771350828629
pruned_2_layers_epoch_6,17,t850,3.0752042565265847,0.8255257756350427
pruned_2_layers_epoch_6,17,t2m,8.543139203300688,0.5796676868333497
pruned_2_layers_epoch_6,17,u10,3.360868878870703,0.6590500845256464
