variable,lead_time_step,model_name,acc
z500,9,pruned_1_layers_epoch_6,0.9785320096175764
z500,10,backbone,0.9791238444477486
z500,10,backbone_epoch_6,0.9736438473509677
z500,10,pruned_1_layers_epoch_6,0.9723018830714945
z500,11,backbone,0.9739582908220132
z500,11,backbone_epoch_6,0.9672243991377634
z500,11,pruned_1_layers_epoch_6,0.9653104300605518
z500,12,backbone,0.9674615976530746
z500,12,backbone_epoch_6,0.959526718661772
z500,12,pruned_1_layers_epoch_6,0.9569061907976032
z500,13,backbone,0.960457305002479
z500,13,backbone_epoch_6,0.9510545950362136
z500,13,pruned_1_layers_epoch_6,0.9474603217407312
z500,14,backbone,0.9520347411406108
z500,14,backbone_epoch_6,0.9411765157177462
z500,14,pruned_1_layers_epoch_6,0.9363577219361032
z500,15,backbone,0.9430596748543852
z500,15,backbone_epoch_6,0.9305078587052542
z500,15,pruned_1_layers_epoch_6,0.923943186272456
z500,16,backbone,0.9327323526643508
z500,16,backbone_epoch_6,0.9184573948716318
z500,16,pruned_1_layers_epoch_6,0.9097551656834906
z500,17,backbone,0.921847025109403
z500,17,backbone_epoch_6,0.9056519409797712
z500,17,pruned_1_layers_epoch_6,0.8941579527695086
z500,18,backbone,0.9096421176494832
z500,18,backbone_epoch_6,0.8915287206292818
z500,18,pruned_1_layers_epoch_6,0.876869901265512
z500,19,backbone,0.8970625530408082
z500,19,backbone_epoch_6,0.8768948962568571
z500,19,pruned_1_layers_epoch_6,0.8584265845447945
z500,20,backbone,0.883294031939693
z500,20,backbone_epoch_6,0.8611658918125004
z500,20,pruned_1_layers_epoch_6,0.8384295462230065
z500,21,backbone,0.8693607782518398
z500,21,backbone_epoch_6,0.8451415956353342
z500,21,pruned_1_layers_epoch_6,0.8172714930006911
z500,22,backbone,0.8544524058949348
z500,22,backbone_epoch_6,0.8282229231056555
z500,22,pruned_2_layers_epoch_6,0.7953815623368631
z500,23,backbone,0.8395853085890829
z500,23,backbone_epoch_6,0.8113013752345932
z500,23,pruned_2_layers_epoch_6,0.7730762625539769
z500,24,backbone,0.8238840236344152
z500,24,backbone_epoch_6,0.7937685724077278
z500,24,pruned_2_layers_epoch_6,0.7507241681301394
z500,25,backbone,0.8082921055442128
z500,25,backbone_epoch_6,0.7765454197063126
z500,25,pruned_2_layers_epoch_6,0.7269420294122323
z500,26,backbone,0.7919223371830733
z500,26,backbone_epoch_6,0.75895094238846
z500,26,pruned_2_layers_epoch_6,0.7035309885467231
z500,27,backbone,0.7759431257594231
z500,27,backbone_epoch_6,0.7419405557922811
z500,27,pruned_2_layers_epoch_6,0.678638715151302
z500,28,backbone,0.7594145413217598
z500,28,backbone_epoch_6,0.7246919290979481
z500,28,pruned_2_layers_epoch_6,0.6548194727085156
